01-02-2022  00-02-00
   1   1.640 280.000    76
   2   1.640 290.000    89
   3   1.660 281.250    87
   4   1.660 290.000   101
   5   1.680 283.750   100
   6   1.680 291.250   107
   7   1.700 283.750   100
   8   1.700 291.250   122
   9   1.720 283.750   100
  10   1.720 291.250   133
  11   1.740 283.750   100
  12   1.740 291.250   119
  13   1.760 285.000    96
  14   1.760 292.500   111
  15   1.780 293.750   111
  16   1.780 568.750    75
  17   1.800 293.750   118
  18   1.800 568.750    72
  19   1.820 295.000   118
  20   1.820 565.000    79
  21   1.841 291.250   114
  22   1.841 565.000    79
  23   1.841 570.000    72
  24   1.861 291.250   116
  25   1.861 570.000    72
  26   1.881 291.250   116
  27   1.881 570.000    80
  28   1.901 298.750   118
  29   1.901 570.000    78
  30   1.921 300.000   118
  31   1.921 586.250    76
  32   1.941 301.250   118
  33   1.941 586.250    92
  34   1.961 303.750   118
  35   1.961 583.750    94
  36   1.981 305.000   129
  37   2.001 305.000   129
  38   2.021 306.250   129
  39   2.021 606.250    85
  40   2.041 306.250   127
  41   2.041 606.250    97
  42   2.061 306.250   119
  43   2.061 607.500    97
  44   2.081 312.500   120
  45   2.081 608.750    91
  46   2.081 621.250    75
  47   2.101 312.500   120
  48   2.101 621.250    94
  49   2.101 891.250    88
  50   2.121 312.500   120
  51   2.121 622.500   102
  52   2.121 628.750    86
  53   2.121 892.500    88
  54   2.141 315.000   120
  55   2.141 622.500   109
  56   2.161 317.500   120
  57   2.161 623.750    99
  58   2.161 627.500   104
  59   2.161 903.750    93
  60   2.181 318.750   120
  61   2.181 627.500    95
  62   2.181 636.250    99
  63   2.181 905.000    87
  64   2.201 320.000   118
  65   2.201 636.250    96
  66   2.201 650.000    92
  67   2.201 905.000    85
  68   2.221 325.000   124
  69   2.221 650.000   106
  70   2.241 325.000   119
  71   2.241 332.500   124
  72   2.241 650.000   101
  73   2.261 335.000   125
  74   2.281 340.000   144
  75   2.281 675.000   103
  76   2.301 341.250   136
  77   2.301 675.000   103
  78   2.301 687.500   114
  79   2.321 342.500   117
  80   2.321 687.500   114
  81   2.341 348.750   118
  82   2.341 355.000   122
  83   2.341 361.250   138
  84   2.341 686.250   109
  85   2.341 696.250   100
  86   2.341 703.750   100
  87   2.361 350.000   114
  88   2.361 353.750   120
  89   2.361 362.500   142
  90   2.361 685.000    88
  91   2.381 348.750   109
  92   2.381 363.750   140
  93   2.401 347.500   103
  94   2.401 366.250   135
  95   2.401 377.500   139
  96   2.421 366.250   110
  97   2.421 378.750   133
  98   2.421 382.500   133
  99   2.441 380.000   121
 100   2.441 383.750   123
 101   2.441 388.750   101
 102   2.441 400.000   121
 103   2.441 408.750   127
 104   2.441 412.500   122
 105   2.441 423.750   105
 106   2.441 427.500   116
 107   2.461 398.750   108
 108   2.461 410.000   127
 109   2.461 423.750    95
 110   2.461 428.750   105
 111   2.461 448.750   114
 112   2.461 453.750   114
 113   2.481 345.000    92
 114   2.481 410.000   102
 115   2.481 413.750    99
 116   2.481 431.250    99
 117   2.481 436.250   103
 118   2.481 448.750   106
 119   2.481 455.000   107
 120   2.481 472.500    96
 121   2.481 511.250    89
 122   2.502 345.000   107
 123   2.502 426.250    85
 124   2.502 432.500    93
 125   2.502 456.250   101
 126   2.502 511.250    89
 127   2.522 345.000   101
 128   2.522 426.250    85
 129   2.522 432.500    84
 130   2.522 457.500    93
 131   2.522 495.000    93
 132   2.522 510.000    89
 133   2.542 345.000    92
