       52.000000      104.000000
       50.000000    0.000000E+00      423.084900
       60.000000    2.500000E-01      110.170000
       70.000000    5.000000E-01       28.937600
       80.000000    7.500000E-01        6.974660
       90.000000        1.000000        1.583514
      100.000000        1.270000    3.187368E-01
      110.000000        1.350000    5.650285E-02
      120.000000        1.260000    1.346620E-02
      130.000000        1.260000    3.543402E-03
      140.000000        1.350000    1.537164E-03
      150.000000        1.440000    7.686308E-04
      160.000000        1.520000    3.979277E-04
      170.000000        1.620000    2.122554E-04
      180.000000        1.740000    1.165014E-04
      190.000000        1.890000    6.586705E-05
      200.000000        2.040000    3.926684E-05
      210.000000        2.190000    2.559374E-05
      220.000000        2.310000    2.058788E-05
      230.000000        2.410000    2.098062E-05
      240.000000        2.500000    2.487904E-05
      250.000000        2.560000    3.113933E-05
      260.000000        2.610000    3.858047E-05
      270.000000        2.660000    4.588875E-05
      280.000000        2.690000    5.170084E-05
      290.000000        2.740000    5.504505E-05
      300.000000        2.700000    5.519766E-05
      310.000000        2.689155    5.278872E-05
      320.000000        2.630410    4.960714E-05
      330.000000        2.553941    4.610138E-05
      340.000000        2.463116    4.244234E-05
      350.000000        2.361144    3.883400E-05
      360.000000        2.250996    3.530407E-05
      370.000000        2.135347    3.198122E-05
      380.000000        2.016550    2.885341E-05
      390.000000        1.896630    2.599058E-05
      400.000000        1.777285    2.335812E-05
      410.000000        1.659910    2.098872E-05
      420.000000        1.545622    1.883977E-05
      430.000000        1.435282    1.692499E-05
      440.000000        1.329533    1.520199E-05
      450.000000        1.228829    1.367444E-05
      460.000000        1.133459    1.230520E-05
      470.000000        1.043582    1.109421E-05
      480.000000    9.592432E-01    1.000974E-05
      490.000000    8.804014E-01    9.050375E-06
      500.000000    8.069461E-01    8.191149E-06
