  89  89  89  89  89  89  89  89  89  89  89  89  89
  87  86  87  88  88  87  87  88  89  90  89  88  87
  83  82  83  84  84  82  81  84  87  89  87  85  83
  78  77  78  79  78  75  74  78  83  86  84  80  78
  70  70  70  71  70  66  66  71  77  81  79  74  70
  60  60  60  60  58  55  56  62  69  74  72  64  60
  44  45  46  45  44  41  45  52  58  64  63  52  44
  24  25  28  25  26  25  32  39  45  52  52  35  24
   0   1   4   2   4   5  14  23  29  37  38  16   0
 -23 -24 -19 -22 -19 -16  -6   3   9  20  23  -3 -23
 -41 -44 -40 -42 -39 -35 -26 -18 -11   0   5 -21 -41
 -54 -58 -55 -58 -55 -51 -44 -36 -29 -19 -13 -35 -54
 -61 -65 -63 -68 -67 -64 -58 -50 -44 -34 -29 -45 -61
 -64 -67 -68 -75 -77 -74 -68 -62 -55 -46 -41 -52 -64
 -65 -68 -72 -79 -83 -81 -76 -71 -64 -56 -51 -58 -65
 -68 -70 -75 -82 -87 -87 -82 -77 -71 -64 -61 -64 -68
 -72 -75 -80 -84 -88 -89 -86 -82 -77 -72 -69 -70 -72
 -78 -80 -83 -88 -86 -87 -86 -83 -81 -78 -77 -77 -78
 -83 -83 -83 -83 -83 -83 -83 -83 -83 -83 -83 -83 -83
