01-02-2022  00-02-00
 201.2500           0     1
 202.5000           0     2
 203.7500           0     3
 205.0000           0     4
 206.2500           0     5
 207.5000           0     6
 208.7500           0     7
 210.0000           0     8
 211.2500           0     9
 212.5000           0    10
 213.7500           0    11
 215.0000           0    12
 216.2500           0    13
 217.5000           0    14
 218.7500           0    15
 220.0000           0    16
 221.2500           0    17
 222.5000           0    18
 223.7500           0    19
 225.0000           0    20
 226.2500           0    21
 227.5000           0    22
 228.7500           0    23
 230.0000           0    24
 231.2500           0    25
 232.5000           0    26
 233.7500           0    27
 235.0000           0    28
 236.2500           0    29
 237.5000           0    30
 238.7500           0    31
 240.0000           0    32
 241.2500           0    33
 242.5000           0    34
 243.7500           0    35
 245.0000           0    36
 246.2500           0    37
 247.5000           0    38
 248.7500           0    39
 250.0000           0    40
 251.2500           0    41
 252.5000           0    42
 253.7500           0    43
 255.0000           0    44
 256.2500           0    45
 257.5000           0    46
 258.7500           0    47
 260.0000           0    48
 261.2500           0    49
 262.5000           0    50
 263.7500           0    51
 265.0000           0    52
 266.2500           0    53
 267.5000           0    54
 268.7500           0    55
 270.0000           0    56
 271.2500           0    57
 272.5000           0    58
 273.7500           0    59
 275.0000           0    60
 276.2500           0    61
 277.5000           0    62
 278.7500           0    63
 280.0000          76    64
 281.2500          87    65
 282.5000           0    66
 283.7500         400    67
 285.0000          96    68
 286.2500           0    69
 287.5000           0    70
 288.7500           0    71
 290.0000         190    72
 291.2500         827    73
 292.5000         111    74
 293.7500         229    75
 295.0000         118    76
 296.2500           0    77
 297.5000           0    78
 298.7500         118    79
 300.0000         118    80
 301.2500         118    81
 302.5000           0    82
 303.7500         118    83
 305.0000         258    84
 306.2500         375    85
 307.5000           0    86
 308.7500           0    87
 310.0000           0    88
 311.2500           0    89
 312.5000         360    90
 313.7500           0    91
 315.0000         120    92
 316.2500           0    93
 317.5000         369    94
 318.7500         207    95
 320.0000         268    96
 321.2500          77    97
 322.5000           0    98
 323.7500           0    99
 325.0000         243   100
 326.2500           0   101
 327.5000          90   102
 328.7500           0   103
 330.0000           0   104
 331.2500           0   105
 332.5000         124   106
 333.7500           0   107
 335.0000         197   108
 336.2500           0   109
 337.5000           0   110
 338.7500           0   111
 340.0000         144   112
 341.2500         258   113
 342.5000        2008   114
 343.7500         317   115
 345.0000         713   116
 346.2500         413   117
 347.5000         103   118
 348.7500         383   119
 350.0000         114   120
 351.2500         609   121
 352.5000         265   122
 353.7500         120   123
 355.0000         122   124
 356.2500           0   125
 357.5000           0   126
 358.7500           0   127
 360.0000           0   128
 361.2500         138   129
 362.5000         142   130
 363.7500         308   131
 365.0000         476   132
 366.2500         408   133
 367.5000         126   134
 368.7500           0   135
 370.0000         164   136
 371.2500         147   137
 372.5000         164   138
 373.7500           0   139
 375.0000           0   140
 376.2500         149   141
 377.5000         139   142
 378.7500         285   143
 380.0000         121   144
 381.2500         150   145
 382.5000         133   146
 383.7500         123   147
 385.0000           0   148
 386.2500           0   149
 387.5000           0   150
 388.7500         101   151
 390.0000           0   152
 391.2500         309   153
 392.5000         146   154
 393.7500           0   155
 395.0000           0   156
 396.2500           0   157
 397.5000           0   158
 398.7500         261   159
 400.0000         121   160
 401.2500           0   161
 402.5000         274   162
 403.7500           0   163
 405.0000           0   164
 406.2500           0   165
 407.5000           0   166
 408.7500         127   167
 410.0000         229   168
 411.2500           0   169
 412.5000         122   170
 413.7500          99   171
 415.0000           0   172
 416.2500           0   173
 417.5000         131   174
 418.7500           0   175
 420.0000         131   176
 421.2500           0   177
 422.5000           0   178
 423.7500         200   179
 425.0000           0   180
 426.2500         170   181
 427.5000         116   182
 428.7500         105   183
 430.0000           0   184
 431.2500         415   185
 432.5000         177   186
 433.7500         123   187
 435.0000           0   188
 436.2500         103   189
 437.5000           0   190
 438.7500           0   191
 440.0000           0   192
 441.2500         277   193
 442.5000           0   194
 443.7500           0   195
 445.0000           0   196
 446.2500           0   197
 447.5000           0   198
 448.7500         220   199
 450.0000           0   200
 451.2500           0   201
 452.5000           0   202
 453.7500         114   203
 455.0000         107   204
 456.2500         237   205
 457.5000         311   206
 458.7500         153   207
 460.0000           0   208
 461.2500           0   209
 462.5000           0   210
 463.7500           0   211
 465.0000         124   212
 466.2500           0   213
 467.5000           0   214
 468.7500           0   215
 470.0000           0   216
 471.2500           0   217
 472.5000          96   218
 473.7500         131   219
 475.0000           0   220
 476.2500           0   221
 477.5000         181   222
 478.7500           0   223
 480.0000           0   224
 481.2500           0   225
 482.5000           0   226
 483.7500           0   227
 485.0000           0   228
 486.2500           0   229
 487.5000           0   230
 488.7500         180   231
 490.0000         105   232
 491.2500           0   233
 492.5000         117   234
 493.7500         163   235
 495.0000          93   236
 496.2500           0   237
 497.5000           0   238
 498.7500           0   239
 500.0000           0   240
 501.2500           0   241
 502.5000           0   242
 503.7500           0   243
 505.0000          85   244
 506.2500         262   245
 507.5000           0   246
 508.7500          85   247
 510.0000          89   248
 511.2500         178   249
 512.5000         127   250
 513.7500         108   251
 515.0000           0   252
 516.2500           0   253
 517.5000           0   254
 518.7500           0   255
 520.0000           0   256
 521.2500           0   257
 522.5000           0   258
 523.7500           0   259
 525.0000           0   260
 526.2500           0   261
 527.5000           0   262
 528.7500           0   263
 530.0000           0   264
 531.2500           0   265
 532.5000           0   266
 533.7500           0   267
 535.0000           0   268
 536.2500           0   269
 537.5000           0   270
 538.7500           0   271
 540.0000         192   272
 541.2500           0   273
 542.5000           0   274
 543.7500           0   275
 545.0000           0   276
 546.2500           0   277
 547.5000           0   278
 548.7500           0   279
 550.0000           0   280
 551.2500           0   281
 552.5000           0   282
 553.7500           0   283
 555.0000           0   284
 556.2500           0   285
 557.5000           0   286
 558.7500           0   287
 560.0000           0   288
 561.2500           0   289
 562.5000           0   290
 563.7500           0   291
 565.0000         158   292
 566.2500           0   293
 567.5000           0   294
 568.7500         147   295
 570.0000         302   296
 571.2500           0   297
 572.5000           0   298
 573.7500           0   299
 575.0000           0   300
 576.2500           0   301
 577.5000           0   302
 578.7500           0   303
 580.0000           0   304
 581.2500           0   305
 582.5000           0   306
 583.7500          94   307
 585.0000           0   308
 586.2500         168   309
 587.5000           0   310
 588.7500           0   311
 590.0000           0   312
 591.2500           0   313
 592.5000           0   314
 593.7500           0   315
 595.0000           0   316
 596.2500           0   317
 597.5000           0   318
 598.7500           0   319
 600.0000           0   320
 601.2500           0   321
 602.5000           0   322
 603.7500           0   323
 605.0000           0   324
 606.2500         182   325
 607.5000          97   326
 608.7500          91   327
 610.0000           0   328
 611.2500           0   329
 612.5000           0   330
 613.7500           0   331
 615.0000           0   332
 616.2500           0   333
 617.5000           0   334
 618.7500           0   335
 620.0000           0   336
 621.2500         169   337
 622.5000         211   338
 623.7500          99   339
 625.0000           0   340
 626.2500           0   341
 627.5000         199   342
 628.7500          86   343
 630.0000           0   344
 631.2500           0   345
 632.5000           0   346
 633.7500           0   347
 635.0000           0   348
 636.2500         195   349
 637.5000           0   350
 638.7500           0   351
 640.0000           0   352
 641.2500           0   353
 642.5000           0   354
 643.7500           0   355
 645.0000           0   356
 646.2500           0   357
 647.5000           0   358
 648.7500           0   359
 650.0000         299   360
 651.2500           0   361
 652.5000           0   362
 653.7500           0   363
 655.0000           0   364
 656.2500         174   365
 657.5000          83   366
 658.7500          79   367
 660.0000           0   368
 661.2500           0   369
 662.5000          88   370
 663.7500          81   371
 665.0000          81   372
 666.2500          74   373
 667.5000         394   374
 668.7500           0   375
 670.0000         100   376
 671.2500           0   377
 672.5000           0   378
 673.7500         183   379
 675.0000         369   380
 676.2500          89   381
 677.5000          74   382
 678.7500           0   383
 680.0000           0   384
 681.2500           0   385
 682.5000          88   386
 683.7500         266   387
 685.0000         187   388
 686.2500         208   389
 687.5000         322   390
 688.7500           0   391
 690.0000           0   392
 691.2500           0   393
 692.5000           0   394
 693.7500         362   395
 695.0000           0   396
 696.2500         100   397
 697.5000          86   398
 698.7500          86   399
 700.0000          86   400
 701.2500           0   401
 702.5000           0   402
 703.7500         100   403
 705.0000           0   404
 706.2500           0   405
 707.5000           0   406
 708.7500           0   407
 710.0000           0   408
 711.2500           0   409
 712.5000           0   410
 713.7500           0   411
 715.0000           0   412
 716.2500           0   413
 717.5000           0   414
 718.7500           0   415
 720.0000           0   416
 721.2500           0   417
 722.5000           0   418
 723.7500           0   419
 725.0000           0   420
 726.2500           0   421
 727.5000           0   422
 728.7500           0   423
 730.0000           0   424
 731.2500           0   425
 732.5000           0   426
 733.7500           0   427
 735.0000           0   428
 736.2500           0   429
 737.5000           0   430
 738.7500         104   431
 740.0000         101   432
 741.2500           0   433
 742.5000           0   434
 743.7500           0   435
 745.0000           0   436
 746.2500           0   437
 747.5000           0   438
 748.7500           0   439
 750.0000           0   440
 751.2500           0   441
 752.5000           0   442
 753.7500          98   443
 755.0000           0   444
 756.2500           0   445
 757.5000           0   446
 758.7500           0   447
 760.0000           0   448
 761.2500           0   449
 762.5000           0   450
 763.7500           0   451
 765.0000           0   452
 766.2500         108   453
 767.5000           0   454
 768.7500           0   455
 770.0000           0   456
 771.2500           0   457
 772.5000           0   458
 773.7500           0   459
 775.0000           0   460
 776.2500           0   461
 777.5000           0   462
 778.7500           0   463
 780.0000           0   464
 781.2500           0   465
 782.5000           0   466
 783.7500           0   467
 785.0000           0   468
 786.2500           0   469
 787.5000           0   470
 788.7500           0   471
 790.0000           0   472
 791.2500           0   473
 792.5000           0   474
 793.7500           0   475
 795.0000           0   476
 796.2500           0   477
 797.5000           0   478
 798.7500           0   479
 800.0000           0   480
 801.2500           0   481
 802.5000           0   482
 803.7500           0   483
 805.0000           0   484
 806.2500           0   485
 807.5000           0   486
 808.7500           0   487
 810.0000           0   488
 811.2500           0   489
 812.5000           0   490
 813.7500           0   491
 815.0000           0   492
 816.2500           0   493
 817.5000           0   494
 818.7500          86   495
 820.0000           0   496
 821.2500           0   497
 822.5000           0   498
 823.7500           0   499
 825.0000         155   500
 826.2500         267   501
 827.5000           0   502
 828.7500           0   503
 830.0000           0   504
 831.2500           0   505
 832.5000           0   506
 833.7500           0   507
 835.0000         103   508
 836.2500         199   509
 837.5000           0   510
 838.7500           0   511
 840.0000           0   512
 841.2500           0   513
 842.5000           0   514
 843.7500           0   515
 845.0000          82   516
 846.2500           0   517
 847.5000           0   518
 848.7500           0   519
 850.0000         181   520
 851.2500           0   521
 852.5000           0   522
 853.7500           0   523
 855.0000           0   524
 856.2500           0   525
 857.5000           0   526
 858.7500           0   527
 860.0000           0   528
 861.2500           0   529
 862.5000           0   530
 863.7500         174   531
 865.0000          80   532
 866.2500           0   533
 867.5000           0   534
 868.7500           0   535
 870.0000           0   536
 871.2500           0   537
 872.5000           0   538
 873.7500           0   539
 875.0000           0   540
 876.2500           0   541
 877.5000           0   542
 878.7500           0   543
 880.0000           0   544
 881.2500           0   545
 882.5000           0   546
 883.7500           0   547
 885.0000           0   548
 886.2500           0   549
 887.5000           0   550
 888.7500           0   551
 890.0000           0   552
 891.2500          88   553
 892.5000          88   554
 893.7500           0   555
 895.0000           0   556
 896.2500           0   557
 897.5000           0   558
 898.7500           0   559
 900.0000           0   560
 901.2500           0   561
 902.5000           0   562
 903.7500          93   563
 905.0000         172   564
 906.2500           0   565
 907.5000           0   566
 908.7500           0   567
 910.0000           0   568
 911.2500           0   569
 912.5000           0   570
 913.7500           0   571
 915.0000           0   572
 916.2500           0   573
 917.5000           0   574
 918.7500           0   575
 920.0000           0   576
 921.2500           0   577
 922.5000           0   578
 923.7500           0   579
 925.0000           0   580
 926.2500           0   581
 927.5000           0   582
 928.7500           0   583
 930.0000           0   584
 931.2500           0   585
 932.5000           0   586
 933.7500           0   587
 935.0000           0   588
 936.2500           0   589
 937.5000           0   590
 938.7500           0   591
 940.0000           0   592
 941.2500           0   593
 942.5000           0   594
 943.7500           0   595
 945.0000           0   596
 946.2500           0   597
 947.5000           0   598
 948.7500           0   599
 950.0000           0   600
 951.2500           0   601
 952.5000           0   602
 953.7500           0   603
 955.0000           0   604
 956.2500           0   605
 957.5000           0   606
 958.7500           0   607
 960.0000           0   608
 961.2500           0   609
 962.5000           0   610
 963.7500           0   611
 965.0000           0   612
 966.2500           0   613
 967.5000           0   614
 968.7500           0   615
 970.0000           0   616
 971.2500           0   617
 972.5000           0   618
 973.7500           0   619
 975.0000           0   620
 976.2500           0   621
 977.5000           0   622
 978.7500           0   623
 980.0000           0   624
 981.2500           0   625
 982.5000           0   626
 983.7500           0   627
 985.0000           0   628
 986.2500           0   629
 987.5000           0   630
 988.7500           0   631
 990.0000           0   632
 991.2500           0   633
 992.5000           0   634
 993.7500           0   635
 995.0000           0   636
 996.2500           0   637
 997.5000           0   638
 998.7500           0   639
1000.0000           0   640
1001.2500           0   641
1002.5000           0   642
1003.7500           0   643
1005.0000           0   644
1006.2500           0   645
1007.5000          61   646
1008.7500           0   647
1010.0000           0   648
1011.2500           0   649
1012.5000           0   650
1013.7500           0   651
1015.0000           0   652
1016.2500           0   653
1017.5000           0   654
1018.7500           0   655
1020.0000           0   656
1021.2500           0   657
1022.5000           0   658
1023.7500           0   659
1025.0000           0   660
1026.2500           0   661
1027.5000           0   662
1028.7500           0   663
1030.0000           0   664
1031.2500           0   665
1032.5000           0   666
1033.7500           0   667
1035.0000           0   668
1036.2500           0   669
1037.5000           0   670
1038.7500           0   671
1040.0000           0   672
1041.2500           0   673
1042.5000           0   674
1043.7500           0   675
1045.0000           0   676
