16-01-2022  21-33-00
 200.1953           0
 201.4160           0
 202.6367           0
 203.8574           0
 205.0781           0
 206.2988           0
 207.5195           0
 208.7402           0
 209.9609           0
 211.1816           0
 212.4023           0
 213.6230           0
 214.8437           0
 216.0644           0
 217.2851           0
 218.5058           0
 219.7265           0
 220.9472           0
 222.1679           0
 223.3886           0
 224.6094           0
 225.8301           0
 227.0508           0
 228.2715           0
 229.4922           0
 230.7129           0
 231.9336           0
 233.1543           0
 234.3750           0
 235.5957           0
 236.8164           0
 238.0371           0
 239.2578           0
 240.4785           0
 241.6992           0
 242.9199           0
 244.1406           0
 245.3613           0
 246.5820           0
 247.8027           0
 249.0234           0
 250.2441           0
 251.4648           0
 252.6855           0
 253.9062           0
 255.1269           0
 256.3476           0
 257.5683           0
 258.7890           0
 260.0097           0
 261.2304           0
 262.4511           0
 263.6718           0
 264.8926           0
 266.1133           0
 267.3340           0
 268.5547           0
 269.7754           0
 270.9961           0
 272.2168           0
 273.4375           0
 274.6582           0
 275.8789           0
 277.0996           0
 278.3203           0
 279.5410           0
 280.7617           0
 281.9824           0
 283.2031           0
 284.4238           0
 285.6445           0
 286.8652           0
 288.0859           0
 289.3066           0
 290.5273           0
 291.7480           0
 292.9687           0
 294.1894           0
 295.4101           0
 296.6308           0
 297.8515           0
 299.0722           0
 300.2929           0
 301.5136           0
 302.7343           0
 303.9550           0
 305.1758           0
 306.3965           0
 307.6172           0
 308.8379           0
 310.0586           0
 311.2793           0
 312.5000           0
 313.7207           0
 314.9414           0
 316.1621           0
 317.3828         146
 318.6035           0
 319.8242           0
 321.0449           0
 322.2656         166
 323.4863         180
 324.7070          92
 325.9277          81
 327.1484         253
 328.3691         188
 329.5898           0
 330.8105           0
 332.0312           0
 333.2519           0
 334.4726         271
 335.6933         943
 336.9140         442
 338.1347           0
 339.3554         259
 340.5761          89
 341.7968          85
 343.0175         349
 344.2382         374
 345.4589         360
 346.6797         257
 347.9004         458
 349.1211         182
 350.3418         440
 351.5625          88
 352.7832         257
 354.0039         162
 355.2246          82
 356.4453         454
 357.6660         820
 358.8867         793
 360.1074         101
 361.3281         195
 362.5488         302
 363.7695         291
 364.9902         218
 366.2109         759
 367.4316         441
 368.6523          72
 369.8730         574
 371.0937         443
 372.3144         100
 373.5351           0
 374.7558          95
 375.9765         100
 377.1972         103
 378.4179         369
 379.6386         752
 380.8593          70
 382.0800         140
 383.3007          70
 384.5214         206
 385.7421         106
 386.9629         212
 388.1836          99
 389.4043         184
 390.6250         190
 391.8457         919
 393.0664         386
 394.2871         107
 395.5078           0
 396.7285          95
 397.9492         192
 399.1699         152
 400.3906           0
 401.6113         488
 402.8320         192
 404.0527           0
 405.2734         148
 406.4941         192
 407.7148         193
 408.9355         188
 410.1562         254
 411.3769           0
