01-02-2022  00-02-00
   1.5000           0     1
   1.5200           0     2
   1.5401           0     3
   1.5601           0     4
   1.5801           0     5
   1.6002           0     6
   1.6202           0     7
   1.6402         165     8
   1.6602         188     9
   1.6803         207    10
   1.7003         222    11
   1.7203         233    12
   1.7404         219    13
   1.7604         207    14
   1.7804         186    15
   1.8005         190    16
   1.8205         197    17
   1.8405         265    18
   1.8605         188    19
   1.8806         196    20
   1.9006         196    21
   1.9206         194    22
   1.9407         210    23
   1.9607         212    24
   1.9807         129    25
   2.0008         129    26
   2.0208         214    27
   2.0408         224    28
   2.0608         216    29
   2.0809         286    30
   2.1009         302    31
   2.1209         396    32
   2.1410         229    33
   2.1610         416    34
   2.1810         401    35
   2.2011         391    36
   2.2211         230    37
   2.2411         344    38
   2.2612         125    39
   2.2812         247    40
   2.3012         353    41
   2.3212         231    42
   2.3413         687    43
   2.3613         464    44
   2.3813         249    45
   2.4014         377    46
   2.4214         376    47
   2.4414         936    48
   2.4615         663    49
   2.4815         893    50
   2.5015         475    51
   2.5215         545    52
   2.5416         344    53
   2.5616         166    54
   2.5816         172    55
   2.6017         537    56
   2.6217         376    57
   2.6417         459    58
   2.6618         190    59
   2.6818         268    60
   2.7018         271    61
   2.7219         271    62
   2.7419         282    63
   2.7619         368    64
   2.7819         520    65
   2.8020         303    66
   2.8220         381    67
   2.8420         371    68
   2.8621         449    69
   2.8821         354    70
   2.9021         286    71
   2.9222         231    72
   2.9422         330    73
   2.9622         392    74
   2.9822         371    75
   3.0023         250    76
   3.0223         255    77
   3.0423         341    78
   3.0624         338    79
   3.0824         244    80
   3.1024         304    81
   3.1225         383    82
   3.1425         163    83
   3.1625         168    84
   3.1825         327    85
   3.2026         268    86
   3.2226         495    87
   3.2426         386    88
   3.2627         304    89
   3.2827         155    90
   3.3027         299    91
   3.3228         145    92
   3.3428         695    93
   3.3628         286    94
   3.3829         535    95
   3.4029         529    96
   3.4229         560    97
   3.4429         460    98
   3.4630          82    99
   3.4830           0   100
   3.5030           0   101
   3.5231           0   102
   3.5431           0   103
   3.5631           0   104
   3.5832           0   105
   3.6032          61   106
   3.6232           0   107
   3.6432           0   108
   3.6633           0   109
   3.6833           0   110
   3.7033           0   111
   3.7234           0   112
   3.7434           0   113
   3.7634           0   114
   3.7835           0   115
   3.8035           0   116
   3.8235           0   117
   3.8435           0   118
   3.8636           0   119
   3.8836           0   120
   3.9036           0   121
   3.9237           0   122
   3.9437           0   123
   3.9637           0   124
   3.9838           0   125
   4.0038           0   126
   4.0238           0   127
   4.0439           0   128
   4.0639           0   129
   4.0839           0   130
   4.1039           0   131
   4.1240           0   132
   4.1440           0   133
   4.1640           0   134
   4.1841           0   135
   4.2041           0   136
   4.2241           0   137
   4.2442           0   138
   4.2642           0   139
   4.2842           0   140
   4.3042           0   141
   4.3243           0   142
   4.3443           0   143
   4.3643           0   144
   4.3844           0   145
   4.4044           0   146
   4.4244           0   147
   4.4445           0   148
   4.4645           0   149
   4.4845           0   150
   4.5046           0   151
   4.5246           0   152
   4.5446           0   153
   4.5646           0   154
   4.5847           0   155
   4.6047           0   156
   4.6247           0   157
   4.6448           0   158
   4.6648           0   159
   4.6848           0   160
   4.7049           0   161
   4.7249           0   162
   4.7449           0   163
   4.7649           0   164
   4.7850           0   165
   4.8050           0   166
   4.8250           0   167
   4.8451           0   168
   4.8651           0   169
   4.8851           0   170
   4.9052           0   171
   4.9252           0   172
   4.9452           0   173
   4.9652           0   174
   4.9853           0   175
   5.0053           0   176
   5.0253           0   177
   5.0454           0   178
   5.0654           0   179
   5.0854           0   180
   5.1055           0   181
   5.1255           0   182
   5.1455           0   183
   5.1656           0   184
   5.1856           0   185
   5.2056           0   186
   5.2256           0   187
   5.2457           0   188
   5.2657           0   189
