01-02-2022  00-02-00
   1     1.560        0
   2     1.700      206
   3     1.841      203
   4     1.981      187
   5     2.121      321
   6     2.261      274
   7     2.401      536
   8     2.542      447
   9     2.682      302
  10     2.822      392
  11     2.962      302
  12     3.102      277
  13     3.243      319
  14     3.383      459
  15     3.523       12
  16     3.663        9
  17     3.803        0
  18     3.944        0
  19     4.084        0
  20     4.224        0
  21     4.364        0
  22     4.505        0
  23     4.645        0
  24     4.785        0
  25     4.925        0
  26     5.065        0
  27     5.206        0
  28     5.346        0
  29     5.486        0
  30     5.626        0
  31     5.766        0
  32     5.907        0
  33     6.047        0
  34     6.187        0
  35     6.327        0
  36     6.468        0
  37     6.608        0
  38     6.748        0
  39     6.888        0
  40     7.028        0
  41     7.169        0
  42     7.309        0
  43     7.449        0
  44     7.589        0
  45     7.729        0
  46     7.870        0
  47     8.010        0
  48     8.150        0
  49     8.290        0
  50     8.430        0
  51     8.571        0
  52     8.711        0
  53     8.851        0
  54     8.991        0
  55     9.132        0
  56     9.272        0
  57     9.412        0
  58     9.552        0
  59     9.692        0
  60     9.833        0
  61     9.973        0
  62    10.113        0
  63    10.253        0
  64    10.393        0
  65    10.534        0
  66    10.674        0
  67    10.814        0
  68    10.954        0
  69    11.095        0
  70    11.235        0
  71    11.375        0
  72    11.515        0
  73    11.655        0
  74    11.796        0
  75    11.936        0
  76    12.076        0
  77    12.216        0
  78    12.356        0
  79    12.497        0
  80    12.637        0
  81    12.777        0
  82    12.917        0
  83    13.058        0
  84    13.198        0
  85    13.338        0
  86    13.478        0
  87    13.618        0
  88    13.759        0
  89    13.899        0
  90    14.039        0
  91    14.179        0
  92    14.319        0
