01-02-2022  00-02-00
 Nmax     Nmin
  13    12
  280.000        65.90
  292.500       146.90
  317.500       207.60
  342.500       622.00
  367.500       255.90
  430.000       159.00
  455.000       134.70
  492.500        59.90
  667.500        92.70
  742.500        20.50
  767.500        10.80
  281.250       721.25
  351.250       318.13
  280.000        65.90
  305.000        73.10
  330.000        87.30
  355.000       182.50
  405.000        86.40
  442.500        70.50
  480.000        37.50
  542.500        19.20
  705.000         8.60
  755.000         9.80
 1005.000         6.10
  306.250       255.63
