01-02-2022  23-55-00
 fof1O=   0.000 fof2O=   3.123 m=   47  k= 121 fper=   2.442 fmin=   1.220
   i     ff_a[m]   hhmin[m]      ff_a      hhmin       hho           ho       amin_f2   k_tf   dy
   1      2.422    291.504      1.401    253.418    253.418     0.000    114.00   1         0.00
   2      2.422    291.504      1.421    253.418    253.418     0.000    114.00   1         0.00
   3      2.422    291.504      1.441    253.418    253.418     0.000    107.00   1         0.00
   4      2.422    291.504      1.461    254.883    254.883     0.000    114.00   1         0.00
   5      2.422    291.504      1.481    256.348    256.348     0.000    114.00   1         0.00
   6      2.422    291.504      1.601    259.277    259.277     0.000    114.00   1         0.00
   7      2.422    291.504      1.621    260.742    260.742     0.000    114.00   1         0.00
   8      2.422    291.504      1.641    260.742    260.742     0.000    118.00   1         0.00
   9      2.422    291.504      1.661    260.742    260.742     0.000    123.00   1         0.00
  10      2.422    291.504      1.681    262.207    262.207     0.000    126.00   1         0.00
  11      2.422    291.504      1.701    262.207    262.207     0.000    126.00   1         0.00
  12      2.422    291.504      1.721    262.207    262.207     0.000    142.00   1         0.00
  13      2.422    291.504      1.741    263.672    263.672     0.000    142.00   1         0.00
  14      2.422    291.504      1.761    263.672    263.672     0.000    143.00   1         0.00
  15      2.422    291.504      1.781    265.137    265.137     0.000    143.00   1         0.00
  16      2.422    291.504      1.801    266.601    266.601     0.000    143.00   1         0.00
  17      2.422    291.504      1.821    266.601    266.601     0.000    140.00   1         0.00
  18      2.422    291.504      1.841    268.066    268.066     0.000    135.00   1         0.00
  19      2.422    291.504      1.861    268.066    268.066     0.000    129.00   1         0.00
  20      2.422    291.504      1.881    269.531    269.531     0.000    133.00   1         0.00
  21      2.422    291.504      1.901    269.531    269.531     0.000    142.00   1         0.00
  22      2.422    291.504      1.921    270.996    270.996     0.000     86.00   1         0.00
  23      2.422    291.504      1.941    270.996    270.996     0.000    142.00   1         0.00
  24      2.422    291.504      1.961    272.461    272.461     0.000     93.00   1         0.00
  25      2.422    291.504      1.982    272.461    272.461     0.000    164.00   1         0.00
  26      2.422    291.504      2.002    273.926    273.926     0.000    164.00   1         0.00
  27      2.422    291.504      2.022    273.926    273.926     0.000    165.00   1         0.00
  28      2.422    291.504      2.042    275.390    275.390     0.000    158.00   1         0.00
  29      2.422    291.504      2.062    276.855    276.855     0.000     90.00   1         0.00
  30      2.422    291.504      2.082    278.320    278.320     0.000    136.00   1         0.00
  31      2.422    291.504      2.102    278.320    278.320     0.000    135.00   1         0.00
  32      2.422    291.504      2.122    279.785    279.785     0.000    135.00   1         0.00
  33      2.422    291.504      2.142    281.250    281.250     0.000    135.00   1         0.00
  34      2.422    291.504      2.162    282.715    323.730   323.730    135.00   2        41.02
  35      2.422    291.504      2.182    284.180    326.660   326.660    103.00   2        42.48
  36      2.422    291.504      2.202    284.180    284.180     0.000    160.00   1         0.00
  37      2.422    291.504      2.222    285.644    285.644     0.000    107.00   1         0.00
  38      2.422    291.504      2.242    285.644    285.644     0.000    134.00   1         0.00
  39      2.422    291.504      2.262    287.109    301.758   301.758    155.00   2        14.65
  40      2.422    291.504      2.282    288.574    288.574     0.000    150.00   1         0.00
  41      2.422    291.504      2.302    291.504    291.504     0.000    132.00   1         0.00
  42      2.422    291.504      2.322    292.969    292.969     0.000    150.00   1         0.00
  43      2.422    291.504      2.342    292.969    292.969     0.000    122.00   1         0.00
  44      2.422    291.504      2.362    292.969    292.969     0.000    150.00   1         0.00
  45      2.422    291.504      2.382    297.363    401.367   401.367    122.00   3       104.00
  46      2.422    291.504      2.402    298.828    402.832   402.832    146.00   2       104.00
  47      2.422    291.504      2.422    291.504    300.293   300.293    134.00   2         8.79
  48      2.422    291.504      2.442    291.504    303.223   303.223    132.00   2        11.72
  49      2.422    291.504      2.462    291.504    304.687   304.687    141.00   2        13.18
  50      2.422    291.504      2.482    291.504    306.152   306.152    127.00   2        14.65
  51      2.422    291.504      2.502    291.504    307.617   307.617    145.00   2        16.11
  52      2.422    291.504      2.522    291.504    309.082   309.082    150.00   2        17.58
  53      2.422    291.504      2.542    290.039    309.082   309.082    148.00   2        19.04
  54      2.422    291.504      2.562    290.039    333.984   333.984    147.00   3        43.95
  55      2.422    291.504      2.582    290.039    333.984   333.984    136.00   4        43.95
  56      2.422    291.504      2.602    288.574    336.914   336.914    167.00   3        48.34
  57      2.422    291.504      2.622    288.574    336.914   336.914    167.00   3        48.34
  58      2.422    291.504      2.643    290.039    328.125   328.125    160.00   2        38.09
  59      2.422    291.504      2.663    290.039    328.125   328.125    119.00   2        38.09
  60      2.422    291.504      2.683    290.039    354.492   354.492    160.00   3        64.45
  61      2.422    291.504      2.703    290.039    354.492   354.492    161.00   3        64.45
  62      2.422    291.504      2.723    290.039    355.957   355.957    127.00   3        65.92
  63      2.422    291.504      2.743    290.039    354.492   354.492    148.00   4        64.45
  64      2.422    291.504      2.763    290.039    373.535   373.535    159.00   4        83.50
  65      2.422    291.504      2.783    290.039    376.465   376.465    148.00   5        86.43
  66      2.422    291.504      2.803    291.504    376.465   376.465    156.00   5        84.96
  67      2.422    291.504      2.823    291.504    388.183   388.183    146.00   5        96.68
  68      2.422    291.504      2.843    291.504    373.535   373.535    161.00   3        82.03
  69      2.422    291.504      2.863    292.969    395.508   395.508    136.00   3       102.54
  70      2.422    291.504      2.883    292.969    416.015   416.015    163.00   3       123.05
  71      2.422    291.504      2.903    292.969    417.480   417.480    142.00   4       124.51
  72      2.422    291.504      2.923    294.433    417.480   417.480    138.00   2       123.05
  73      2.422    291.504      2.943    294.433    467.285   467.285    132.00   4       172.85
  74      2.422    291.504      2.963    295.898    448.242   448.242    127.00   3       152.34
