          íÄÅãàñÄ ëêÖÑçÖåÖëüóçõï áçÄóÖçàâ àçÑÖäëÄ
                ëéãçÖóçéâ ÄäíàÇçéëíà F10.7
          1    2    3    4    5    6    7    8    9    10   11   12
1948:   1481 1298 1336 2095 2310 2023 1890 1773 1648 1570 1594 1841
1949:   1752 2128 2010 1833 1584 1631 1653 1794 1739 1759 1741 1580
1950:   1442 1386 1356 1652 1604 1331 1384 1240  991  984  988  959
1951:   1026  986 1010 1279 1727 1672 1198 1128 1193 1044 1007  979
1952:    910  839  772  846  828  877  919  953  819  815  802  814
1953:    794  703  693  816  746  753  723  769  748  716  694  678
1954:    658  673  713  695  695  691  702  718  708  726  704  717
1955:    803  791  742  775  848  918  899  933  960 1103 1262 1279
1956:   1346 1620 1584 1672 1666 1589 1684 1988 2022 1988 2416 2413
1957:   2207 1806 1950 2014 2126 2601 2252 2070 2689 2793 2504 2733
1958:   2401 2050 2475 2477 2238 2270 2314 2429 2457 2246 2024 2268
1959:   2623 2011 2257 2115 2177 2239 2097 2398 1961 1630 1790 1734
1960:   1936 1649 1445 1682 1666 1672 1694 1784 1658 1402 1438 1318
1961:   1162 1025 1030 1057 1012 1135 1198 1086 1132  954  870  901
1962:    900  986  990  967 1002  939  837  789  900  865  822  785
1963:    755  771  772  796  899  857  785  830  859  835  792  746
1964:    720  743  748  730  707  713  692  710  707  724  713  752
1965:    750  727  730  724  799  794  768  766  772  791  751  741
1966:    850  821  894  978 1006  994 1101 1092 1124 1079 1108 1214
1967:   1430 1434 1590 1308 1469 1240 1449 1575 1335 1351 1421 1579
1968:   1831 1689 1412 1304 1584 1468 1417 1457 1425 1514 1355 1439
1969:   1477 1515 1706 1565 1487 1673 1411 1466 1387 1529 1532 1391
1970:   1532 1712 1568 1631 1722 1599 1570 1416 1448 1473 1585 1480
1971:   1574 1344 1108 1175 1124 1049 1212 1169 1051 1064 1115 1207
1972:   1111 1384 1271 1137 1325 1397 1260 1289 1149 1202  994  997
1973:    990  963  994 1058  991  942  872  849 1068  871  797  815
1974:    804  789  784  867  926  890  955  851  887  971  883  786
1975:    750  724  717  712  716  719  797  927  804  753  791  723
1976:    724  688  759  768  722  728  698  766  739  754  713  743
1977:    749  803  758  782  814  945  837  864 1009  963  916  989
1978:   1061 1418 1403 1505 1497 1468 1354 1169 1596 1571 1482 1700
1979:   1965 1991 1840 1750 1689 1860 1714 1770 2023 2164 2268 1972
