01-02-2022  23-55-00
 fof2o=   3.123 k_t=   41
  i   fm_f2   ym_f2
   1     2.122   280.779
   2     2.142   281.367
   3     2.162   282.047
   4     2.182   282.823
   5     2.202   283.698
   6     2.222   284.677
   7     2.242   285.762
   8     2.262   286.957
   9     2.282   288.267
  10     2.302   289.694
  11     2.322   291.242
  12     2.342   292.915
  13     2.362   294.716
  14     2.382   296.650
  15     2.402   298.719
  16     2.422   300.927
  17     2.442   303.279
  18     2.462   305.777
  19     2.482   308.425
  20     2.502   311.228
  21     2.522   314.188
  22     2.542   317.309
  23     2.562   320.595
  24     2.582   324.049
  25     2.602   327.675
  26     2.622   331.477
  27     2.643   335.458
  28     2.663   339.623
  29     2.683   343.974
  30     2.703   348.515
  31     2.723   353.250
  32     2.743   358.182
  33     2.763   363.316
  34     2.783   368.654
  35     2.803   374.201
  36     2.823   379.960
  37     2.843   385.934
  38     2.863   392.128
  39     2.883   398.544
  40     2.883   398.544
  41     3.123   521.484
