  f  zad   ion[i,j]
   1    90  116
   1  1000    1
   5    80   94
   5    81   92
   5   228  107
   5   236  100
   5   237   92
   5   360   91
   5   361   91
   6   236   92
   6   435   89
   7   224   90
   7   225   84
   7   229   80
   7   669   81
   8   223   87
   8   224   96
   8   225   76
   8   229   89
   8   230   79
   8   231   91
   8   232  100
   8   233   89
   8   269   77
   8   322   79
   8   406   76
   8   442   89
   8   443   86
   8   444   77
   8   447   81
   8   448   82
   9   223   89
   9   224   99
   9   225   87
   9   226   88
   9   227   86
   9   229  103
   9   230  109
   9   231  106
   9   232  112
   9   233  113
   9   234   95
   9   269   76
   9   270   80
   9   447   79
   9   641   75
   9   659   78
  10   191   78
  10   192   82
  10   223   83
  10   224   88
  10   225  106
  10   226  113
  10   227  109
  10   228  100
  10   229  110
  10   230  120
  10   231  101
  10   232  116
  10   233  132
  10   234  118
  10   235   83
  10   443   81
  10   464   77
  10   692   79
  11   192   76
  11   225  107
  11   226  122
  11   227  118
  11   228   86
  11   229  100
  11   230  120
  11   231  126
  11   232  137
  11   233  145
  11   234  135
  11   235  107
  11   443   82
  11   444   76
  12   225  102
  12   226  120
  12   227  119
  12   228   95
  12   229   93
  12   230  106
  12   231  120
  12   232  141
  12   233  148
  12   234  142
  12   235  122
  12   457   80
  12   462   79
  13   157   78
  13   158   79
  13   226  109
  13   227  116
  13   228   93
  13   229   82
  13   230   83
  13   231   98
  13   232  128
  13   233  137
  13   234  133
  13   235  119
  13   236  104
  13   445   75
  13   455   83
  13   456   91
  13   457   89
  13   463   78
  13   732   74
  14   158   73
  14   226   92
  14   227  109
  14   228  104
  14   229   96
  14   230   96
  14   231   90
  14   232  106
  14   233  108
  14   234  111
  14   236  106
  14   237   96
  14   242   73
  14   445   76
  14   455   91
  14   456   95
  14   457   88
  14   665   82
  14   666   76
  14   732   74
  15   227   97
  15   228   96
  15   230   94
  15   231   92
  15   232  102
  15   234  109
  15   235  115
  15   236  114
  15   237  105
  15   238   98
  15   317   73
  15   444   74
  15   445   77
  15   451   71
  15   452   75
  15   455   83
  15   456   77
  15   457   75
  15   468   72
  15   469   75
  15   665   75
  16   227   80
  16   230   91
  16   231  111
  16   232  109
  16   233  103
  16   234  123
  16   235  130
  16   236  118
  16   238  110
  16   239   99
  16   278   73
  16   443   78
  16   444   80
  16   445   75
  16   450   78
  16   453   79
  16   454   81
  16   455   72
  16   460   74
  16   462   72
  16   469   72
  16   470   74
  16   471   76
  16   676   73
  17   230   80
  17   231  119
  17   232  120
  17   233  106
  17   234  127
  17   235  129
  17   236  127
  17   237  120
  17   238  119
  17   239  102
  17   445   72
  17   446   75
  17   447   77
  17   450   75
  17   451   78
  17   452   80
  17   453   88
  17   454   79
  17   456   72
  17   457   75
  17   465   77
  17   471   80
  17   676   76
  18   229   77
  18   230   95
  18   231  125
  18   232  136
  18   233  133
  18   234  114
  18   235  107
  18   236  118
  18   237  126
  18   238  120
  18   239   98
  18   446   78
  18   447   76
  18   448   73
  18   450   79
  18   451   91
  18   452   92
  18   453   84
  18   457   77
  18   465   80
  18   470   74
  18   471   76
  18   684   71
  19   227   73
  19   228   74
  19   230   96
  19   231  124
  19   232  139
  19   233  139
  19   234  116
  19   235   97
  19   237  117
  19   238  114
  19   239   72
  19   451   85
  19   452   81
  19   456   82
  19   457   80
  19   460   76
  19   461   80
  19   470   81
  19   471   75
  19   683   74
  19   684   77
  19   685   79
  19   686   84
  19   687   83
  20   230   77
  20   231  107
  20   232  128
  20   233  135
  20   234  127
  20   235  107
  20   236   89
  20   237  110
  20   238  117
  20   239  102
  20   240  105
  20   241   93
  20   455   87
  20   456   94
  20   457   84
  20   459   71
  20   461   81
  20   462   87
  20   467   74
  20   480   78
  20   685   75
  20   686   86
  20   687   84
  20   688   77
  20   689   76
  21   231   69
  21   232  106
  21   233  118
  21   234  115
  21   235  109
  21   236   81
  21   237  108
  21   238  117
  21   239  124
  21   240  127
  21   241  118
  21   242   95
  21   243   82
  21   455   84
  21   456   91
  21   457   86
  21   458   78
  21   459   75
  21   461   77
  21   462   93
  21   463   85
  21   464   71
  21   474   72
  21   479   70
  21   480   77
  22   233   90
  22   235   96
  22   236  107
  22   237  110
  22   239  123
  22   240  133
  22   241  131
  22   242  123
  22   243  106
  22   456   72
  22   462   95
  22   463   86
  22   465   77
  22   468   83
  22   469   76
  22   470   76
  22   480   70
  22   485   76
  22   694   89
  22   695   81
  22   699   71
  22   700   74
  23   235   79
  23   236   91
  23   237  113
  23   238  116
  23   239  122
  23   240  113
  23   241  127
  23   242  126
  23   243  121
  23   244  108
  23   245   84
  23   462   90
  23   463   98
  23   464   95
  23   465   94
  23   467   92
  23   468  102
  23   469  101
  23   470   94
  23   471   83
  23   472   87
  23   473   84
  23   485   74
  23   668   73
  23   688   75
  23   692   80
  23   693   89
  23   694   93
  23   695   82
  23   699   80
  23   700   73
  24   237  111
  24   238  130
  24   239  125
  24   240  101
  24   241  115
  24   242   97
  24   243  121
  24   244  129
  24   245  114
  24   246   87
  24   463   94
  24   464   98
  24   465  100
  24   466  101
  24   467  104
  24   468  105
  24   469   99
  24   470   92
  24   471   92
  24   472   94
  24   473   89
  24   478   75
  24   667   72
  24   688   71
  24   694   83
  24   695   79
  24   698   78
  24   699   70
  25   237  111
  25   238  129
  25   239  131
  25   240  118
  25   242  112
  25   243  129
  25   244  139
  25   245  135
  25   246  120
  25   247   95
  25   466   94
  25   467   95
  25   480   84
  25   481   75
  25   709   81
  25   710   75
  25   727   79
  25   755   83
  25   756   80
  26   237  105
  26   238  115
  26   239  123
  26   240  125
  26   241  118
  26   242  131
  26   243  135
  26   244  129
  26   245  139
  26   246  137
  26   247  119
  26   248   81
  26   473   89
  26   480   90
  26   708   81
  26   709   84
  26   736   78
  26   755   79
  26   756   79
  26   757   75
  26   770   76
  27   237   89
  27   238   73
  27   239   95
  27   240  123
  27   241  129
  27   242  133
  27   243  130
  27   244   93
  27   245  132
  27   246  140
  27   247  134
  27   248  117
  27   249  102
  27   250   80
  27   340   74
  27   472   80
  27   473   87
  27   474   81
  27   476   76
  27   477   88
  27   479   87
  27   480   91
  27   481   75
  27   482   78
  27   483   86
  27   484   90
  27   485   85
  27   487   85
  27   700   81
  28   239   82
  28   240  111
  28   241  114
  28   242  106
  28   243  126
  28   244  126
  28   245  116
  28   246  127
  28   247  130
  28   248  129
  28   249  126
  28   250  116
  28   251  100
  28   295   83
  28   296   82
  28   302   83
  28   324   81
  28   325   82
  28   332   81
  28   339   85
  28   340   89
  28   341   86
  28   342   82
  28   477   84
  28   478   90
  28   479   92
  28   480   85
  28   482   86
  28   483  102
  28   484  107
  28   485   99
  28   486   86
  28   487   97
  28   488   87
  28   489   82
  29   240   94
  29   241   94
  29   242   89
  29   243  116
  29   244  123
  29   245   96
  29   246  111
  29   247  101
  29   248  114
  29   249  130
  29   250  131
  29   251  126
  29   252  114
  29   253   95
  29   295   83
  29   301   80
  29   302   82
  29   303   81
  29   309   81
  29   310   81
  29   318   79
  29   322   80
  29   331   80
  29   332   80
  29   340   87
  29   341   86
  29   342   81
  29   482   81
  29   483   98
  29   484  108
  29   485  108
  29   486  104
  29   487  105
  29   488  103
  29   489   93
  30   242   81
  30   243   99
  30   244  117
  30   245  119
  30   246  103
  30   247   81
  30   248  111
  30   249  118
  30   250  119
  30   251  136
  30   252  130
  30   253  107
  30   484   91
  30   485   96
  30   486   86
  30   487   91
  30   488   99
  30   489   91
  30   496   84
  30   497   89
  30   498   81
  30   499   75
  30   711   87
  30   712   93
  30   713   78
  30   719   73
  30   720   76
  30   727   74
  30   728   74
  31   169   76
  31   244  102
  31   245  115
  31   246  110
  31   247  104
  31   248  125
  31   249  121
  31   250  120
  31   251  134
