01-02-2022  23-55-00
  i    k_tf[i]         fkk[i]         hh_k[i] 
   1     1       1.4006    253.42      0.00
   2     1       1.4206    253.42      0.00
   3     1       1.4407    253.42      0.00
   4     1       1.4607    254.88      0.00
   5     1       1.4807    256.35      0.00
   6     1       1.6009    259.28      0.00
   7     1       1.6210    260.74      0.00
   8     1       1.6410    260.74      0.00
   9     1       1.6610    260.74      0.00
  10     1       1.6810    262.21      0.00
  11     1       1.7011    262.21      0.00
  12     1       1.7211    262.21      0.00
  13     1       1.7411    263.67      0.00
  14     1       1.7612    263.67      0.00
  15     1       1.7812    265.14      0.00
  16     1       1.8012    266.60      0.00
  17     1       1.8213    266.60      0.00
  18     1       1.8413    268.07      0.00
  19     1       1.8613    268.07      0.00
  20     1       1.8814    269.53      0.00
  21     1       1.9014    269.53      0.00
  22     1       1.9214    271.00      0.00
  23     1       1.9414    271.00      0.00
  24     1       1.9615    272.46      0.00
  25     1       1.9815    272.46      0.00
  26     1       2.0015    273.93      0.00
  27     1       2.0216    273.93      0.00
  28     1       2.0416    275.39      0.00
  29     1       2.0616    276.86      0.00
  30     1       2.0817    278.32      0.00
  31     1       2.1017    278.32      0.00
  32     1       2.1217    279.79      0.00
  33     1       2.1418    281.25      0.00
  34     2       2.1618    282.71    323.73
  35     2       2.1818    284.18    326.66
  36     1       2.2018    284.18      0.00
  37     1       2.2219    285.64      0.00
  38     1       2.2419    285.64      0.00
  39     2       2.2619    287.11    301.76
  40     1       2.2820    288.57      0.00
  41     1       2.3020    291.50      0.00
  42     1       2.3220    292.97      0.00
  43     1       2.3421    292.97      0.00
  44     1       2.3621    292.97      0.00
  45     3       2.3821    297.36    401.37
  46     2       2.4022    298.83    402.83
  47     2       2.4222    291.50    300.29
  48     2       2.4422    291.50    303.22
  49     2       2.4622    291.50    304.69
  50     2       2.4823    291.50    306.15
  51     2       2.5023    291.50    307.62
  52     2       2.5223    291.50    309.08
  53     2       2.5424    290.04    309.08
  54     3       2.5624    290.04    333.98
  55     4       2.5824    290.04    333.98
  56     3       2.6025    288.57    336.91
  57     3       2.6225    288.57    336.91
  58     2       2.6425    290.04    328.12
  59     2       2.6626    290.04    328.12
  60     3       2.6826    290.04    354.49
  61     3       2.7026    290.04    354.49
  62     3       2.7226    290.04    355.96
  63     4       2.7427    290.04    354.49
  64     4       2.7627    290.04    373.53
  65     5       2.7827    290.04    376.46
  66     5       2.8028    291.50    376.46
  67     5       2.8228    291.50    388.18
  68     3       2.8428    291.50    373.53
  69     3       2.8629    292.97    395.51
  70     3       2.8829    292.97    416.02
  71     4       2.9029    292.97    417.48
  72     2       2.9230    294.43    417.48
  73     4       2.9430    294.43    467.28
  74     3       2.9630    295.90    448.24
  75     3       2.9831    295.90    448.24
  76     3       3.0031    297.36    448.24
  77     2       3.0231    298.83    446.78
  78     2       3.0431    298.83    439.45
  79     3       3.0632    300.29    458.50
  80     2       3.0832    300.29    459.96
  81     1       3.1032    301.76      0.00
  82     1       3.1233    303.22      0.00
  83     1       3.1433    304.69      0.00
  84     1       3.1633    306.15      0.00
  85     1       3.1834    307.62      0.00
  86     1       3.2034    307.62      0.00
  87     1       3.2234    310.55      0.00
  88     1       3.2435    310.55      0.00
  89     1       3.2635    312.01      0.00
  90     1       3.2835    312.01      0.00
  91     1       3.3035    316.41      0.00
  92     1       3.3236    317.87      0.00
  93     1       3.3436    317.87      0.00
  94     1       3.3636    319.34      0.00
  95     1       3.3837    322.27      0.00
  96     1       3.4037    323.73      0.00
  97     1       3.4237    326.66      0.00
  98     1       3.4438    328.12      0.00
  99     1       3.4638    328.12      0.00
 100     1       3.4838    331.05      0.00
 101     1       3.5039    336.91      0.00
 102     1       3.5239    336.91      0.00
 103     1       3.5439    338.38      0.00
 104     2       3.5639    342.77    348.63
 105     1       3.5840    350.10      0.00
 106     1       3.6040    350.10      0.00
 107     1       3.6240    351.56      0.00
 108     3       3.6441    351.56    367.68
 109     2       3.6641    358.89    367.68
 110     4       3.6841    358.89    398.44
 111     2       3.7042    360.35    376.46
 112     2       3.7242    377.93    386.72
 113     3       3.7442    379.39    404.30
 114     2       3.7643    386.72    405.76
 115     3       3.7843    404.30    433.59
 116     6       3.8043    404.30    458.50
 117     3       3.8243    433.59    458.50
 118     1       3.8444    458.50      0.00
 119     2       3.9045    448.24    458.50
 120     3       3.9245    435.06    458.50
 121     2       3.9445    443.85    457.03
