01-02-2022  00-03-00
   1     1.8205   279.5800
   2     1.8405   279.7213
   3     1.8605   280.0184
   4     1.8806   280.4725
   5     1.9006   281.0845
   6     1.9206   281.8553
   7     1.9407   282.7861
   8     1.9607   283.8777
   9     1.9807   285.1312
  10     2.0008   286.5476
  11     2.0208   288.1278
  12     2.0408   289.8729
  13     2.0608   291.7839
  14     2.0809   293.8617
  15     2.1009   296.1074
  16     2.1209   298.5219
  17     2.1410   301.1063
  18     2.1610   303.8615
  19     2.1810   306.7886
  20     2.2011   309.8885
  21     2.2211   313.1622
  22     2.2411   316.6107
  23     2.2612   320.2351
  24     2.2812   324.0363
  25     2.3012   328.0153
  26     2.3212   332.1732
  27     2.3413   336.5108
  28     2.3613   341.0292
  29     2.3813   345.7295
  30     2.4014   350.6125
  31     2.4214   355.6793
  32     2.4414   360.9309
  33     2.4615   366.3684
  34     2.4815   371.9925
  35     2.4014   350.6125
  36     2.4214   355.6793
  37     2.4414   360.9309
  38     2.4615   366.3684
  39     2.4815   371.9925
