03-01-2016  08-57-00
   1.5404     149.5733
   1.5604     151.7897
   1.5804     153.2073
   1.6004     153.9887
   1.6205     154.2973
   1.6405     154.2933
   1.6605     154.1420
   1.6806     154.0058
   1.7006     154.0493
   1.7206     154.4345
   1.7407     155.3300
   1.7607     156.8902
   1.7807     159.2810
   1.8007     162.6650
   1.8208     167.2308
   1.8408     173.0964
   1.8608     180.4440
   1.8809     189.4859
   1.8950     196.9089
   1.8950     204.9649
