01-02-2022  00-02-00
   1.941     293.834     1
   1.961     294.039     2
   1.981     294.510     3
   2.001     295.255     4
   2.021     296.285     5
   2.041     297.609     6
   2.061     299.237     7
   2.081     301.180     8
   2.101     303.446     9
   2.121     306.046    10
   2.141     308.989    11
   2.161     312.285    12
   2.181     315.944    13
   2.201     319.976    14
   2.221     324.391    15
   2.241     329.198    16
   2.261     334.407    17
   2.281     340.028    18
   2.301     346.071    19
   2.321     352.545    20
   2.341     359.461    21
   2.361     366.828    22
   2.381     374.656    23
   2.401     382.954    24
   2.421     391.733    25
   2.441     401.003    26
   2.461     410.772    27
   2.481     421.051    28
   2.502     431.850    29
   2.321     352.545    30
   2.341     359.461    31
   2.361     366.828    32
   2.381     374.656    33
   2.401     382.954    34
   2.421     391.733    35
   2.441     401.003    36
   2.461     410.772    37
   2.481     421.051    38
   2.502     431.850    39
