01-02-2022  00-02-00 kk=   39
   1   280.000        65.90
   2   292.500       146.90
   3   305.000        73.10
   4   317.500       207.60
   5   330.000        87.30
   6   342.500       622.00
   7   355.000       182.50
   8   367.500       255.90
   9   380.000       125.00
  10   392.500       118.50
  11   405.000        86.40
  12   417.500        93.10
  13   430.000       159.00
  14   442.500        70.50
  15   455.000       134.70
  16   467.500        52.00
  17   480.000        37.50
  18   492.500        59.90
  19   505.000        34.70
  20   517.500        23.50
  21   542.500        19.20
  22   655.000        33.60
  23   667.500        92.70
  24   680.000        80.40
  25   692.500        55.10
  26   705.000         8.60
  27   742.500        20.50
  28   755.000         9.80
  29   767.500        10.80
  30  1005.000         6.10
  31   336.250       336.25
  32   281.250       721.25
  33   291.250       257.25
  34   306.250       255.63
  35   335.000       268.13
  36   398.750       280.63
  37   342.500       293.13
  38   320.000       305.63
  39   351.250       318.13
