01-02-2022  00-02-00 h= 90.000 n2=806
 90.000       0.00     1
 91.250       0.00     2
 92.500       0.00     3
 93.750       0.00     4
 95.000       0.00     5
 96.250       0.00     6
 97.500       0.00     7
 98.750       0.00     8
100.000       0.00     9
101.250       0.00    10
102.500       0.00    11
103.750       0.00    12
105.000       0.00    13
106.250       0.00    14
107.500       0.00    15
108.750       0.00    16
110.000       0.00    17
111.250       0.00    18
112.500       0.00    19
113.750       0.00    20
115.000       0.00    21
116.250       0.00    22
117.500       0.00    23
118.750       0.00    24
120.000       0.00    25
121.250       0.00    26
122.500       0.00    27
123.750       0.00    28
125.000       0.00    29
126.250       0.00    30
127.500       0.00    31
128.750       0.00    32
130.000       0.00    33
131.250       0.00    34
132.500       0.00    35
133.750       0.00    36
135.000       0.00    37
136.250       0.00    38
137.500       0.00    39
138.750       0.00    40
140.000       0.00    41
141.250       0.00    42
142.500       0.00    43
143.750       0.00    44
145.000       0.00    45
146.250       0.00    46
147.500       0.00    47
148.750       0.00    48
150.000       0.00    49
151.250       0.00    50
152.500       0.00    51
153.750       0.00    52
155.000       0.00    53
156.250       0.00    54
157.500       0.00    55
158.750       0.00    56
160.000       0.00    57
161.250       0.00    58
162.500       0.00    59
163.750       0.00    60
165.000       0.00    61
166.250       0.00    62
167.500       0.00    63
168.750       0.00    64
170.000       0.00    65
171.250       0.00    66
172.500       0.00    67
173.750       0.00    68
175.000       0.00    69
176.250       0.00    70
177.500       0.00    71
178.750       0.00    72
180.000       0.00    73
181.250       0.00    74
182.500       0.00    75
183.750       0.00    76
185.000       0.00    77
186.250       0.00    78
187.500       0.00    79
188.750       0.00    80
190.000       0.00    81
191.250       0.00    82
192.500       0.00    83
193.750       0.00    84
195.000       0.00    85
196.250       0.00    86
197.500       0.00    87
198.750       0.00    88
200.000       0.00    89
201.250       0.00    90
202.500       0.00    91
203.750       0.00    92
205.000       0.00    93
206.250       0.00    94
207.500       0.00    95
208.750       0.00    96
210.000       0.00    97
211.250       0.00    98
212.500       0.00    99
213.750       0.00   100
215.000       0.00   101
216.250       0.00   102
217.500       0.00   103
218.750       0.00   104
220.000       0.00   105
221.250       0.00   106
222.500       0.00   107
223.750       0.00   108
225.000       0.00   109
226.250       0.00   110
227.500       0.00   111
228.750       0.00   112
230.000       0.00   113
231.250       0.00   114
232.500       0.00   115
233.750       0.00   116
235.000       0.00   117
236.250       0.00   118
237.500       0.00   119
238.750       0.00   120
240.000       0.00   121
241.250       0.00   122
242.500       0.00   123
243.750       0.00   124
245.000       0.00   125
246.250       0.00   126
247.500       0.00   127
248.750       0.00   128
250.000       0.00   129
251.250       0.00   130
252.500       0.00   131
253.750       0.00   132
255.000       0.00   133
256.250       0.00   134
257.500       0.00   135
258.750       0.00   136
260.000       0.00   137
261.250       0.00   138
262.500       0.00   139
263.750       0.00   140
265.000       0.00   141
266.250       0.00   142
267.500       0.00   143
268.750       0.00   144
270.000       0.00   145
271.250       0.00   146
272.500       0.00   147
273.750       0.00   148
275.000       0.00   149
276.250       0.00   150
277.500       0.00   151
278.750       0.00   152
280.000      76.00   153
281.250      87.00   154
282.500       0.00   155
283.750     400.00   156
285.000      96.00   157
286.250       0.00   158
287.500       0.00   159
288.750       0.00   160
290.000     190.00   161
291.250     827.00   162
292.500     111.00   163
293.750     229.00   164
295.000     118.00   165
296.250       0.00   166
297.500       0.00   167
298.750     118.00   168
300.000     118.00   169
301.250     118.00   170
302.500       0.00   171
303.750     118.00   172
305.000     258.00   173
306.250     375.00   174
307.500       0.00   175
308.750       0.00   176
310.000       0.00   177
311.250       0.00   178
312.500     360.00   179
313.750       0.00   180
315.000     120.00   181
316.250       0.00   182
317.500     369.00   183
318.750     207.00   184
320.000     268.00   185
321.250      77.00   186
322.500       0.00   187
323.750       0.00   188
325.000     243.00   189
326.250       0.00   190
327.500      90.00   191
328.750       0.00   192
330.000       0.00   193
331.250       0.00   194
332.500     124.00   195
333.750       0.00   196
335.000     197.00   197
336.250       0.00   198
337.500       0.00   199
338.750       0.00   200
340.000     144.00   201
341.250     258.00   202
342.500    2008.00   203
343.750     317.00   204
345.000     713.00   205
346.250     413.00   206
347.500     103.00   207
348.750     383.00   208
350.000     114.00   209
351.250     609.00   210
352.500     265.00   211
353.750     120.00   212
355.000     122.00   213
356.250       0.00   214
357.500       0.00   215
358.750       0.00   216
360.000       0.00   217
361.250     138.00   218
362.500     142.00   219
363.750     308.00   220
365.000     476.00   221
366.250     408.00   222
367.500     126.00   223
368.750       0.00   224
370.000     164.00   225
371.250     147.00   226
372.500     164.00   227
373.750       0.00   228
375.000       0.00   229
376.250     149.00   230
377.500     139.00   231
378.750     285.00   232
380.000     121.00   233
381.250     150.00   234
382.500     133.00   235
383.750     123.00   236
385.000       0.00   237
386.250       0.00   238
387.500       0.00   239
388.750     101.00   240
390.000       0.00   241
391.250     309.00   242
392.500     146.00   243
393.750       0.00   244
395.000       0.00   245
396.250       0.00   246
397.500       0.00   247
398.750     261.00   248
400.000     121.00   249
401.250       0.00   250
402.500     274.00   251
403.750       0.00   252
405.000       0.00   253
406.250       0.00   254
407.500       0.00   255
408.750     127.00   256
410.000     229.00   257
411.250       0.00   258
412.500     122.00   259
413.750      99.00   260
415.000       0.00   261
416.250       0.00   262
417.500     131.00   263
418.750       0.00   264
420.000     131.00   265
421.250       0.00   266
422.500       0.00   267
423.750     200.00   268
425.000       0.00   269
426.250     170.00   270
427.500     116.00   271
428.750     105.00   272
430.000       0.00   273
431.250     415.00   274
432.500     177.00   275
433.750     123.00   276
435.000       0.00   277
436.250     103.00   278
437.500       0.00   279
438.750       0.00   280
440.000       0.00   281
441.250     277.00   282
442.500       0.00   283
443.750       0.00   284
445.000       0.00   285
446.250       0.00   286
447.500       0.00   287
448.750     220.00   288
450.000       0.00   289
451.250       0.00   290
452.500       0.00   291
453.750     114.00   292
455.000     107.00   293
456.250     237.00   294
457.500     311.00   295
458.750     153.00   296
460.000       0.00   297
461.250       0.00   298
462.500       0.00   299
463.750       0.00   300
465.000     124.00   301
466.250       0.00   302
467.500       0.00   303
468.750       0.00   304
470.000       0.00   305
471.250       0.00   306
472.500      96.00   307
473.750     131.00   308
475.000       0.00   309
476.250       0.00   310
477.500     181.00   311
478.750       0.00   312
480.000       0.00   313
481.250       0.00   314
482.500       0.00   315
483.750       0.00   316
485.000       0.00   317
486.250       0.00   318
487.500       0.00   319
488.750     180.00   320
490.000     105.00   321
491.250       0.00   322
492.500     117.00   323
493.750     163.00   324
495.000      93.00   325
496.250       0.00   326
497.500       0.00   327
498.750       0.00   328
500.000       0.00   329
501.250       0.00   330
502.500       0.00   331
503.750       0.00   332
505.000      85.00   333
506.250     262.00   334
507.500       0.00   335
508.750      85.00   336
510.000      89.00   337
511.250     178.00   338
512.500     127.00   339
513.750     108.00   340
515.000       0.00   341
516.250       0.00   342
517.500       0.00   343
518.750       0.00   344
520.000       0.00   345
521.250       0.00   346
522.500       0.00   347
523.750       0.00   348
525.000       0.00   349
526.250       0.00   350
527.500       0.00   351
528.750       0.00   352
530.000       0.00   353
531.250       0.00   354
532.500       0.00   355
533.750       0.00   356
535.000       0.00   357
536.250       0.00   358
537.500       0.00   359
538.750       0.00   360
540.000     192.00   361
541.250       0.00   362
542.500       0.00   363
543.750       0.00   364
545.000       0.00   365
546.250       0.00   366
547.500       0.00   367
548.750       0.00   368
550.000       0.00   369
551.250       0.00   370
552.500       0.00   371
553.750       0.00   372
555.000       0.00   373
556.250       0.00   374
557.500       0.00   375
558.750       0.00   376
560.000       0.00   377
561.250       0.00   378
562.500       0.00   379
563.750       0.00   380
565.000     158.00   381
566.250       0.00   382
567.500       0.00   383
568.750     147.00   384
570.000     302.00   385
571.250       0.00   386
572.500       0.00   387
573.750       0.00   388
575.000       0.00   389
576.250       0.00   390
577.500       0.00   391
578.750       0.00   392
580.000       0.00   393
581.250       0.00   394
582.500       0.00   395
583.750      94.00   396
585.000       0.00   397
586.250     168.00   398
587.500       0.00   399
588.750       0.00   400
590.000       0.00   401
591.250       0.00   402
592.500       0.00   403
593.750       0.00   404
595.000       0.00   405
596.250       0.00   406
597.500       0.00   407
598.750       0.00   408
600.000       0.00   409
601.250       0.00   410
602.500       0.00   411
603.750       0.00   412
605.000       0.00   413
606.250     182.00   414
607.500      97.00   415
608.750      91.00   416
610.000       0.00   417
611.250       0.00   418
612.500       0.00   419
613.750       0.00   420
615.000       0.00   421
616.250       0.00   422
617.500       0.00   423
618.750       0.00   424
620.000       0.00   425
621.250     169.00   426
622.500     211.00   427
623.750      99.00   428
625.000       0.00   429
626.250       0.00   430
627.500     199.00   431
628.750      86.00   432
630.000       0.00   433
631.250       0.00   434
632.500       0.00   435
633.750       0.00   436
635.000       0.00   437
636.250     195.00   438
637.500       0.00   439
638.750       0.00   440
640.000       0.00   441
641.250       0.00   442
642.500       0.00   443
643.750       0.00   444
645.000       0.00   445
646.250       0.00   446
647.500       0.00   447
648.750       0.00   448
650.000     299.00   449
651.250       0.00   450
652.500       0.00   451
653.750       0.00   452
655.000       0.00   453
656.250     174.00   454
657.500      83.00   455
658.750      79.00   456
660.000       0.00   457
661.250       0.00   458
662.500      88.00   459
663.750      81.00   460
665.000      81.00   461
666.250      74.00   462
667.500     394.00   463
668.750       0.00   464
670.000     100.00   465
671.250       0.00   466
672.500       0.00   467
673.750     183.00   468
675.000     369.00   469
676.250      89.00   470
677.500      74.00   471
678.750       0.00   472
680.000       0.00   473
681.250       0.00   474
682.500      88.00   475
683.750     266.00   476
685.000     187.00   477
686.250     208.00   478
687.500     322.00   479
688.750       0.00   480
690.000       0.00   481
691.250       0.00   482
692.500       0.00   483
693.750     362.00   484
695.000       0.00   485
696.250     100.00   486
697.500      86.00   487
698.750      86.00   488
700.000      86.00   489
701.250       0.00   490
702.500       0.00   491
703.750     100.00   492
705.000       0.00   493
706.250       0.00   494
707.500       0.00   495
708.750       0.00   496
710.000       0.00   497
711.250       0.00   498
712.500       0.00   499
713.750       0.00   500
715.000       0.00   501
716.250       0.00   502
717.500       0.00   503
718.750       0.00   504
720.000       0.00   505
721.250       0.00   506
722.500       0.00   507
723.750       0.00   508
725.000       0.00   509
726.250       0.00   510
727.500       0.00   511
728.750       0.00   512
730.000       0.00   513
731.250       0.00   514
732.500       0.00   515
733.750       0.00   516
735.000       0.00   517
736.250       0.00   518
737.500       0.00   519
738.750     104.00   520
740.000     101.00   521
741.250       0.00   522
742.500       0.00   523
743.750       0.00   524
745.000       0.00   525
746.250       0.00   526
747.500       0.00   527
748.750       0.00   528
750.000       0.00   529
751.250       0.00   530
752.500       0.00   531
753.750      98.00   532
755.000       0.00   533
756.250       0.00   534
757.500       0.00   535
758.750       0.00   536
760.000       0.00   537
761.250       0.00   538
762.500       0.00   539
763.750       0.00   540
765.000       0.00   541
766.250     108.00   542
767.500       0.00   543
768.750       0.00   544
770.000       0.00   545
771.250       0.00   546
772.500       0.00   547
773.750       0.00   548
775.000       0.00   549
776.250       0.00   550
777.500       0.00   551
778.750       0.00   552
780.000       0.00   553
781.250       0.00   554
782.500       0.00   555
783.750       0.00   556
785.000       0.00   557
786.250       0.00   558
787.500       0.00   559
788.750       0.00   560
790.000       0.00   561
791.250       0.00   562
792.500       0.00   563
793.750       0.00   564
795.000       0.00   565
796.250       0.00   566
797.500       0.00   567
798.750       0.00   568
800.000       0.00   569
801.250       0.00   570
802.500       0.00   571
803.750       0.00   572
805.000       0.00   573
806.250       0.00   574
807.500       0.00   575
808.750       0.00   576
810.000       0.00   577
811.250       0.00   578
812.500       0.00   579
813.750       0.00   580
815.000       0.00   581
816.250       0.00   582
817.500       0.00   583
818.750      86.00   584
820.000       0.00   585
821.250       0.00   586
822.500       0.00   587
823.750       0.00   588
825.000     155.00   589
826.250     267.00   590
827.500       0.00   591
828.750       0.00   592
830.000       0.00   593
831.250       0.00   594
832.500       0.00   595
833.750       0.00   596
835.000     103.00   597
836.250     199.00   598
837.500       0.00   599
838.750       0.00   600
840.000       0.00   601
841.250       0.00   602
842.500       0.00   603
843.750       0.00   604
845.000      82.00   605
846.250       0.00   606
847.500       0.00   607
848.750       0.00   608
850.000     181.00   609
851.250       0.00   610
852.500       0.00   611
853.750       0.00   612
855.000       0.00   613
856.250       0.00   614
857.500       0.00   615
858.750       0.00   616
860.000       0.00   617
861.250       0.00   618
862.500       0.00   619
863.750     174.00   620
865.000      80.00   621
866.250       0.00   622
867.500       0.00   623
868.750       0.00   624
870.000       0.00   625
871.250       0.00   626
872.500       0.00   627
873.750       0.00   628
875.000       0.00   629
876.250       0.00   630
877.500       0.00   631
878.750       0.00   632
880.000       0.00   633
881.250       0.00   634
882.500       0.00   635
883.750       0.00   636
885.000       0.00   637
886.250       0.00   638
887.500       0.00   639
888.750       0.00   640
890.000       0.00   641
891.250      88.00   642
892.500      88.00   643
893.750       0.00   644
895.000      61.00   645
896.250       0.00   646
897.500       0.00   647
898.750       0.00   648
900.000       0.00   649
901.250       0.00   650
902.500       0.00   651
903.750      93.00   652
905.000     172.00   653
906.250       0.00   654
907.500       0.00   655
908.750       0.00   656
910.000       0.00   657
911.250       0.00   658
912.500       0.00   659
913.750       0.00   660
915.000       0.00   661
916.250       0.00   662
917.500       0.00   663
918.750       0.00   664
920.000       0.00   665
921.250       0.00   666
922.500       0.00   667
923.750       0.00   668
925.000       0.00   669
926.250       0.00   670
927.500       0.00   671
928.750       0.00   672
930.000       0.00   673
931.250       0.00   674
932.500       0.00   675
933.750       0.00   676
935.000       0.00   677
936.250       0.00   678
937.500       0.00   679
938.750       0.00   680
940.000       0.00   681
941.250       0.00   682
942.500       0.00   683
943.750       0.00   684
945.000       0.00   685
946.250       0.00   686
947.500       0.00   687
948.750       0.00   688
950.000       0.00   689
951.250       0.00   690
952.500       0.00   691
953.750       0.00   692
955.000       0.00   693
956.250       0.00   694
957.500       0.00   695
958.750       0.00   696
960.000       0.00   697
961.250       0.00   698
962.500       0.00   699
963.750       0.00   700
965.000       0.00   701
966.250       0.00   702
967.500       0.00   703
968.750       0.00   704
970.000       0.00   705
971.250       0.00   706
972.500       0.00   707
973.750       0.00   708
975.000       0.00   709
976.250       0.00   710
977.500       0.00   711
978.750       0.00   712
980.000       0.00   713
981.250       0.00   714
982.500       0.00   715
983.750       0.00   716
985.000       0.00   717
986.250       0.00   718
987.500       0.00   719
988.750       0.00   720
990.000       0.00   721
991.250       0.00   722
992.500       0.00   723
993.750       0.00   724
995.000       0.00   725
996.250       0.00   726
997.500       0.00   727
998.750       0.00   728
1000.000       0.00   729
1001.250       0.00   730
1002.500       0.00   731
1003.750       0.00   732
1005.000       0.00   733
1006.250       0.00   734
1007.500      61.00   735
1008.750       0.00   736
1010.000       0.00   737
1011.250       0.00   738
1012.500       0.00   739
1013.750       0.00   740
1015.000       0.00   741
1016.250       0.00   742
1017.500       0.00   743
1018.750       0.00   744
1020.000       0.00   745
1021.250       0.00   746
1022.500       0.00   747
1023.750       0.00   748
1025.000       0.00   749
1026.250       0.00   750
1027.500       0.00   751
1028.750       0.00   752
1030.000       0.00   753
1031.250       0.00   754
1032.500       0.00   755
1033.750       0.00   756
1035.000       0.00   757
1036.250       0.00   758
1037.500       0.00   759
1038.750       0.00   760
1040.000       0.00   761
1041.250       0.00   762
1042.500       0.00   763
1043.750       0.00   764
1045.000       0.00   765
1046.250       0.00   766
1047.500      94.00   767
1048.750       0.00   768
1050.000       0.00   769
1051.250       0.00   770
1052.500       0.00   771
1053.750       0.00   772
1055.000       0.00   773
1056.250       0.00   774
1057.500       0.00   775
1058.750       0.00   776
1060.000       0.00   777
1061.250       0.00   778
1062.500       0.00   779
1063.750       0.00   780
1065.000       0.00   781
1066.250       0.00   782
1067.500       0.00   783
1068.750       0.00   784
1070.000       0.00   785
1071.250       0.00   786
1072.500       0.00   787
1073.750       0.00   788
1075.000       0.00   789
1076.250       0.00   790
1077.500       0.00   791
1078.750       0.00   792
1080.000       0.00   793
1081.250       0.00   794
1082.500       0.00   795
1083.750       0.00   796
1085.000       0.00   797
1086.250       0.00   798
1087.500       0.00   799
1088.750       0.00   800
1090.000       0.00   801
1091.250       0.00   802
1092.500       0.00   803
1093.750       0.00   804
1095.000       0.00   805
1096.250       0.00   806
