03-01-2016  21-57-00
  206.218       0.00
  218.716       0.00
  231.214       0.00
  243.712       0.00
  256.210      63.50
  268.708      83.60
  281.206      88.30
  293.704      79.70
  306.202     182.20
  318.700     122.10
  331.198     129.50
  343.696     127.00
  356.194      75.70
  368.692      99.00
  381.190      80.20
  393.688      69.90
    0.000       0.00
    0.000       0.00
    0.000       0.00
    0.000       0.00
    0.000       0.00
    0.000       0.00
    0.000       0.00
    0.000       0.00
    0.000       0.00
    0.000       0.00
    0.000       0.00
    0.000       0.00
    0.000       0.00
    0.000       0.00
    0.000       0.00
    0.000       0.00
    0.000       0.00
    0.000       0.00
    0.000       0.00
    0.000       0.00
    0.000       0.00
    0.000       0.00
    0.000       0.00
    0.000       0.00
    0.000       0.00
    0.000       0.00
    0.000       0.00
    0.000       0.00
    0.000       0.00
    0.000       0.00
    0.000       0.00
    0.000       0.00
    0.000       0.00
    0.000       0.00
    0.000       0.00
